timeStamp clearance
20230216_144833 0.38814516576430763
20230216_182808 0.7649860711397155
20230216_150235 0.5872086479571103
20230216_150610 0.44359814532133474
20230216_144913 0.6029805146753794
20230216_145143 0.24251680000857173
20230216_182803 0.42656229490285785
20230216_144646 0.6689869481989704
20230216_151206 0.745661878558345
20230216_145048 0.5949563050829466
20230216_150056 0.6520354110956984
20230216_144958 0.5002006536835198
20230216_145746 0.27617535568562274
20230216_145501 0.5194599062241946
20230216_144758 0.4871312910255748
20230216_182818 0.4757688202436137
20230216_144705 0.540282028909903
20230216_144624 0.20949599398401203
20230216_144729 0.42042703096683126
20230216_182801 0.3955290161972918
20230216_151403 0.36074918557626595
20230216_150803 0.3814474513711395
20230216_144621 0.9399993577380484
20230216_145244 0.39361986745565486
20230216_145350 0.5094287580088374
20230216_150421 0.356273449256493
20230216_145621 0.457505790859657
20230216_145921 0.3882500280923212
20230216_150959 0.5057891521964945
20230216_144632 0.5297443847489004
