timeStamp clearance
20230216_145143 0.005812813513922322
20230216_144729 0.03569339903685481
20230216_144705 0.03198636946305461
20230216_144646 0.03565597670337112
20230216_144958 -0.0008283815026628996
20230216_145350 0.037999658214356524
20230216_182818 -0.0018530609082992302
20230216_182801 0.03827861373414948
20230216_182808 0.7327387204584251
20230216_145921 -0.002258469297770015
20230216_145244 -0.0020039990056037174
20230216_150235 0.36137084633342204
20230216_150056 0.29501215232008543
20230216_145501 0.17546560259792815
20230216_144632 0.042082325232836115
20230216_144621 0.7284648067165161
20230216_144758 -0.0006500512627631285
20230216_144624 0.03595314596047722
20230216_150610 0.037517803935112004
20230216_151403 0.33234459710911485
20230216_151206 0.646989758749451
20230216_145746 -0.0014699832721022923
20230216_145621 0.5310415840096555
20230216_150803 -0.0014512407613504466
20230216_145048 0.4337016911332057
20230216_150421 0.03800459803435613
20230216_182803 0.03263038040849969
20230216_144913 0.03403173804647558
20230216_150959 -0.002332762757203676
20230216_144833 -0.0016793901988910167
