timeStamp clearance
20230216_145143 -0.0001950192275785292
20230216_145621 0.7267366523075153
20230216_144646 0.03241740543460275
20230216_145921 0.036470553243859116
20230216_182818 0.032106753729710336
20230216_144705 0.04484169935653398
20230216_144958 0.04004027530188209
20230216_182803 -0.0016590812005874969
20230216_151206 0.5785658291267611
20230216_145048 0.04521574295984182
20230216_145244 -0.0009982415172620765
20230216_182808 0.639765645395335
20230216_150959 0.22662080500258525
20230216_182801 0.04664874819026393
20230216_150235 0.03694294543733839
20230216_151403 0.00037941470440078316
20230216_145350 -0.0017705643805572815
20230216_144833 0.04565159658847967
20230216_145746 0.036656310896755306
20230216_145501 0.18376933210000218
20230216_150056 0.5709325340890102
20230216_150421 -0.0010379238584283237
20230216_144632 -0.0034805537539786538
20230216_150610 0.028391593559004613
20230216_144913 -0.0018070542304651762
20230216_144621 0.6136634285297083
20230216_144729 0.038222394432993856
20230216_144624 0.035230215478365856
20230216_144758 0.03572775305774539
20230216_150803 0.03375279084176036
