t,t_planning,a0,a1,a2,q0,q0dot,fk0_x,fk0_y,q1,q1dot,fk1_x,fk1_y,q2,q2dot,fk2_x,fk2_y,fk3_x,fk3_y,obst_0_0_0,obst_0_1_0,obst_0_2_0
0.0,0.0018499229990993626,5.989880633738842e-05,-0.01744519096396921,0.0,-0.43838964922444357,0.4006399212200905,0.0,0.0,0.2967514890280389,0.0013213347240163533,-0.43838964922444357,0.2967514890280389,-8.775913719853194e-06,-0.00017551753912826786,-0.43838964922444357,0.2967514890280389,-0.43838964922444357,0.2967514890280389,1.5,0.0,0.0
0.05,0.002185913999710465,-0.013016593355966388,0.0656533445091397,0.0,-0.4133894994774282,0.5000029949403169,0.0,0.0,0.30170787605059035,0.09912774045180188,-0.4133894994774282,0.30170787605059035,2.51862941220795e-07,2.702799387242761e-06,-0.4133894994774282,0.30170787605059035,-0.4133894994774282,0.30170787605059035,1.5,0.0,0.0
0.1,0.0018629679980222136,-0.015102089702361154,0.0736349892142662,0.0,-0.3884218912138019,0.4993521652725185,0.0,0.0,0.3068283964344537,0.10241040767725897,-0.3884218912138019,0.3068283964344537,3.2857771177630295e-07,2.699295125731177e-06,-0.3884218912138019,0.3068283964344537,-0.3884218912138019,0.3068283964344537,1.5,0.0,0.0
0.15000000000000002,0.0018947759999718983,-0.011818169883998697,0.0555387622250163,0.0,-0.36349203817443143,0.49859706078740046,0.0,0.0,0.31213300429135227,0.10609215713797236,-0.36349203817443143,0.31213300429135227,3.9575659772967577e-07,2.695231341099022e-06,-0.36349203817443143,0.31213300429135227,-0.36349203817443143,0.31213300429135227,1.5,0.0,0.0
0.2,0.0020249740009603556,-0.013966943983663271,0.06388716773580656,0.0,-0.3385917305597711,0.4980061522932005,0.0,0.0,0.31757645905381376,0.1088690952492233,-0.3385917305597711,0.31757645905381376,4.774719634599163e-07,2.6920459778890454e-06,-0.3385917305597711,0.31757645905381376,-0.3385917305597711,0.31757645905381376,1.5,0.0,0.0
0.25,0.0029180719975556713,-0.01624812461622671,0.07210222511773252,0.0,-0.31372634030506974,0.49730780509401734,0.0,0.0,0.3231796317356144,0.11206345363601372,-0.31372634030506974,0.3231796317356144,5.493833408320658e-07,2.688283447044608e-06,-0.31372634030506974,0.3231796317356144,-0.31372634030506974,0.3231796317356144,1.5,0.0,0.0
0.3,0.0016368549986509606,-0.018821076374780032,0.08078490132869073,0.0,-0.28890157036190944,0.496495398863206,0.0,0.0,0.32896305998020897,0.11566856489190043,-0.28890157036190944,0.32896305998020897,6.10867581293029e-07,2.6839084589190577e-06,-0.28890157036190944,0.32896305998020897,-0.28890157036190944,0.32896305998020897,1.5,0.0,0.0
0.35,0.0019443620003585238,-0.02167076967390058,0.08970784945663868,0.0,-0.264123853109686,0.495554345044467,0.0,0.0,0.3349484504781257,0.11970780995833502,-0.264123853109686,0.3349484504781257,6.605844687076429e-07,2.678842994045615e-06,-0.264123853109686,0.3349484504781257,-0.264123853109686,0.3349484504781257,1.5,0.0,0.0
0.39999999999999997,0.002102869999362156,-0.024945982925868304,0.09931893549623108,0.0,-0.2394003127816472,0.49447080656077197,0.0,0.0,0.34115811059968454,0.12419320243116701,-0.2394003127816472,0.34115811059968454,6.972573422472899e-07,2.6730130305134554e-06,-0.2394003127816472,0.34115811059968454,-0.2394003127816472,0.34115811059968454,1.5,0.0,0.0
0.44999999999999996,0.0016312529987771995,-0.0288398054884767,0.1101287600702764,0.0,-0.21473913741092343,0.49322350741447857,0.0,0.0,0.3476160680599831,0.1291591492059786,-0.21473913741092343,0.3476160680599831,7.189380559522609e-07,2.6663047377145307e-06,-0.21473913741092343,0.3476160680599831,-0.21473913741092343,0.3476160680599831,1.5,0.0,0.0
0.49999999999999994,0.001978968000912573,-0.03324605735923308,0.12140781039405177,0.0,-0.19015006155392067,0.49178151714005475,0.0,0.0,0.35434934742045765,0.13466558720949243,-0.19015006155392067,0.35434934742045765,7.228061052791148e-07,2.6585527134035343e-06,-0.19015006155392067,0.35434934742045765,-0.19015006155392067,0.35434934742045765,1.5,0.0,0.0
0.5499999999999999,0.0015619010009686463,-0.03836629278709547,0.13360980036108247,0.0,-0.16564410084031622,0.4901192142720931,0.0,0.0,0.36138614630691707,0.140735977729195,-0.16564410084031622,0.36138614630691707,7.065092874783551e-07,2.649619852423616e-06,-0.16564410084031622,0.36138614630691707,-0.16564410084031622,0.36138614630691707,1.5,0.0,0.0
0.6,0.0018788669985951856,-0.04431456312762844,0.14675463516300097,0.0,-0.1412340558586792,0.4882008996327383,0.0,0.0,0.3687569696942796,0.14741646774724906,-0.1412340558586792,0.3687569696942796,6.667838804994198e-07,2.6393151958812086e-06,-0.1412340558586792,0.3687569696942796,-0.1412340558586792,0.3687569696942796,1.5,0.0,0.0
0.65,0.0020998649997636676,-0.03306660118581217,0.10383881716122041,0.0,-0.11693479728486145,0.4859851714763569,0.0,0.0,0.37649467966954914,0.15475419950539904,-0.11693479728486145,0.37649467966954914,5.998446952372782e-07,2.6274172605091858e-06,-0.11693479728486145,0.37649467966954914,-0.11693479728486145,0.37649467966954914,1.5,0.0,0.0
0.7000000000000001,0.002333625001483597,-0.03907839375871758,0.11833056017506768,0.0,-0.09271820521400803,0.4843318414170663,0.0,0.0,0.3844919866877218,0.15994614036346003,-0.09271820521400803,0.3844919866877218,5.827956352146782e-07,2.6185148510480287e-06,-0.09271820521400803,0.3844919866877218,-0.09271820521400803,0.3844919866877218,1.5,0.0,0.0
