timeStamp clearance
20230216_184258 0.42544420608508676
20230216_185042 0.24723071449654727
20230216_184132 0.25962637208243805
20230216_184414 0.17056730604313614
20230216_185426 0.5042868084409414
20230216_190154 0.06593369262154819
20230216_184547 0.04030797157428717
20230216_184030 0.10689160674666559
20230216_184459 0.22891490140959664
20230216_184638 0.3989805677011405
20230216_184022 0.07268615405507511
20230216_184734 0.05324850198302161
20230216_190336 0.04338007472977096
20230216_184053 0.4032849132097814
20230216_184334 0.367835269397129
20230216_190017 0.3893382870000038
20230216_185844 0.4675509391056932
20230216_190730 0.14881505934714384
20230216_184110 0.36240561711246727
20230216_190533 0.2806636712095129
20230216_184157 0.3892583671807573
20230216_185548 0.06098597020166291
20230216_185306 0.601548761572129
20230216_184225 0.46537288368736834
20230216_185714 0.23430949995213785
20230216_184040 0.06166300937695762
20230216_185152 0.4265262930128804
20230216_184935 0.3424275981023273
20230216_184024 0.4561923882362509
20230216_184833 0.10648394549537316
