timeStamp clearance
20230216_184334 0.3680179477434223
20230216_185844 0.46749617645282854
20230216_190336 0.33119672657279714
20230216_184022 0.06700528757917251
20230216_184258 0.4242435539550569
20230216_184040 0.05987678321344897
20230216_184132 0.2588262267882461
20230216_185306 0.6040543194814599
20230216_184414 0.17307237182622331
20230216_190154 0.06342465103998046
20230216_184547 0.03997729490716079
20230216_185042 0.2462358499585255
20230216_185714 0.23393173548715135
20230216_184225 0.4664304264998769
20230216_184734 0.05110481404861228
20230216_184053 0.4032294442959817
20230216_185152 0.42581294936932196
20230216_184833 0.09400041685487998
20230216_184459 0.2276288791283499
20230216_185426 0.5043000111638337
20230216_185548 0.06026836081771586
20230216_184030 0.09675887532069877
20230216_184024 0.4565437041877792
20230216_190017 0.3893059050444561
20230216_190730 0.14360233301920994
20230216_184157 0.3896313463533126
20230216_184638 0.3997963269974559
20230216_190533 0.28010383732330907
20230216_184110 0.3039456366062517
20230216_184935 0.3423228794088145
