timeStamp clearance
20230217_101924 0.08933663690996857
20230217_101933 0.13962231984363843
20230217_101916 0.28373825701675853
20230217_101980 0.4439170077078474
20230217_101932 0.3508705898755378
20230217_101906 0.061849039202220124
20230217_101910 0.41669905369447174
20230217_101908 0.459492399081914
20230217_101926 0.07974525276061467
20230217_101921 0.41345861581007576
20230217_101909 0.44697292506695613
20230217_101923 0.43246086254933297
20230217_101913 0.1502414380731551
20230217_101935 0.15647703276475572
20230217_101920 0.21388032453256495
20230217_101960 0.5792371450844019
20230217_101930 0.48761225204128517
20230217_101917 0.3611166313345711
20230217_101937 0.31606570111577464
20230217_101912 0.43932091857815686
20230217_101915 0.06928766493146082
20230217_101911 0.02673709553658349
20230217_101914 0.26151685719330314
20230217_101990 0.46673910126287127
20230217_101905 0.3345147958631452
20230217_101918 0.4212652519774028
20230217_101928 0.19214401127156583
20230217_101970 0.41226594080467166
20230217_101907 0.003380034555310941
20230217_101919 0.35056320470145425
