timeStamp clearance
20230216_190336 0.3596438372282363
20230216_190533 0.5255655544022012
20230216_185426 0.584406523889787
20230216_190730 0.38461831739494495
20230216_185844 0.5837858520444951
20230216_184157 0.49354310672716745
20230216_184132 0.3373100069717419
20230216_185306 0.8828569699381871
20230216_184040 0.25229644691701963
20230216_184110 0.48560946961187984
20230216_185042 0.3259496302088361
20230216_190154 0.35858529315465587
20230216_184334 0.47870328338341067
20230216_184053 0.5006943442193591
20230216_184030 0.2894279603579782
20230216_185714 0.41488518347340114
20230216_184258 0.5364067627379884
20230216_184833 0.23542446849505855
20230216_184638 0.6411397854750215
20230216_184935 0.26567514669387166
20230216_185548 0.2817812611401444
20230216_184225 0.5723192615463727
20230216_185152 0.4556753047875089
20230216_190017 0.40289436331248824
20230216_184547 0.40964134542665614
20230216_184022 0.29432983724596523
20230216_184414 0.4423309288402136
20230216_184024 0.5932707310736934
20230216_184459 0.2865687823161402
20230216_184734 0.28394867912984983
