t,t_planning,a0,a1,a2,q0,q0dot,fk0_x,fk0_y,q1,q1dot,fk1_x,fk1_y,fk2_x,fk2_y,goal_0_0,goal_1_0
0.0,0.0023295700011658482,-0.7884916417650885,1.852119795132802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7280532243935447,6.419910096702196
0.05,0.001951808999365312,-0.1861187514670105,0.27358770477389505,0.0,-0.0019712291044127203,-0.039424582088254424,0.0,0.0,0.004630299487832016,0.09260598975664036,-0.0019712291044127203,0.004630299487832016,-0.0019712291044127203,0.004630299487832016,-2.7280532243935447,6.419910096702196
0.1,0.0019924219996028114,-0.16324772256686554,0.2803286316721617,0.0,-0.004407755087492971,-0.04873051966160495,0.0,0.0,0.009944568237600227,0.10628537499533527,-0.004407755087492971,0.009944568237600227,-0.004407755087492971,0.009944568237600227,-2.7280532243935447,6.419910096702196
0.15000000000000002,0.0019531579982867697,-0.1535913008598221,0.2832755642700202,0.0,-0.007252400376990387,-0.056892905789948225,0.0,0.0,0.015959658566548983,0.12030180657894353,-0.007252400376990387,0.015959658566548983,-0.007252400376990387,0.015959658566548983,-2.7280532243935447,6.419910096702196
0.2,0.002437215000099968,-0.1488343662435495,0.28448461070919184,0.0,-0.010481023918637361,-0.06457247083293934,0.0,0.0,0.02268293780617298,0.13446558479244472,-0.010481023918637361,0.02268293780617298,-0.010481023918637361,0.02268293780617298,-2.7280532243935447,6.419910096702196
0.25,0.0020297160008340143,-0.1461443755374689,0.2848926351483031,0.0,-0.014081733375893213,-0.07201418914511681,0.0,0.0,0.030117428572570104,0.14868981532790454,-0.014081733375893213,0.030117428572570104,-0.014081733375893213,0.030117428572570104,-2.7280532243935447,6.419910096702196
0.3,0.001901476998682483,-0.15962038598974088,0.27063158184513014,0.0,-0.018047803771992745,-0.07932140792199026,0.0,0.0,0.03826415092683817,0.16293444708531993,-0.018047803771992745,0.03826415092683817,-0.018047803771992745,0.03826415092683817,-2.7280532243935447,6.419910096702196
0.35,0.001984178999919095,-0.15441843851741516,0.27183792695818165,0.0,-0.022412925133066638,-0.0873024272214773,0.0,0.0,0.04708745223571954,0.17646602617757667,-0.022412925133066638,0.04708745223571954,-0.022412925133066638,0.04708745223571954,-2.7280532243935447,6.419910096702196
0.39999999999999997,0.0024325239992322167,-0.11670836666352447,0.29551170256649695,0.0,-0.027164092590434046,-0.09502334914734806,0.0,0.0,0.056590348361996515,0.19005792252548606,-0.027164092590434046,0.056590348361996515,-0.027164092590434046,0.056590348361996515,-2.7280532243935447,6.419910096702196
0.44999999999999996,0.001918707001095754,-0.12215342716371441,0.2915728724491362,0.0,-0.032207030964460266,-0.10085876748052428,0.0,0.0,0.06683202374468933,0.20483350765381117,-0.032207030964460266,0.06683202374468933,-0.032207030964460266,0.06683202374468933,-2.7280532243935447,6.419910096702196
